Theory of Relativity,"Special theory of relativity applies to elementary particles and their interactions, describing all their physical phenomena except gravity. General theory of relativity explains the law of gravitation and its relation to other forces of nature. ",science,0
Animal Cloning,"In reproductive cloning, researchers remove a mature somatic cell, such as a skin cell, from an animal that they wish to copy. They then transfer the DNA of the donor animal's somatic cell into an egg cell, or oocyte, that has had its own DNA-containing nucleus removed.",science,0
Foster Care,"Foster care is a system in which a minor has been placed into a ward, group home, or private home of a state-certified caregiver, referred to as a foster parent. The placement of the child is normally arranged through the government or a social service agency. The institution, group home or foster parent is compensated for expenses.",social,0
Alternative Medicine,"Alternative medicine includes practices claimed to have the healing effects of medicine but which are disproven, unproven, impossible to prove, or are excessively harmful in relation to their effect.",medicine,0
Family Planning,"Family planning is the practice of controlling the number of children in a family and the intervals between their births, particularly by means of artificial contraception or voluntary sterilization. ",social,0
Autism,"A mental condition, present from early childhood, characterized by difficulty in communicating and forming relationships with other people and in using language and abstract concepts.",medicine,0
Dietary Supplement,"A dietary supplement is intended to provide nutrients that may otherwise not be consumed in sufficient quantities. Supplements as generally understood include vitamins, minerals, fiber, fatty acids, or amino acids, among other substances. ",medicine,0
In Vitro Fertilization,A medical procedure whereby an egg is fertilized by sperm in a test tube or elsewhere outside the body.,medicine,0
Organic Food ,"Organic food is food produced by methods that comply with the standards of organic farming. Standards vary worldwide, but organic farming in general features practices that strive to cycle resources, promote ecological balance, and conserve biodiversity.",science,0
Vegetarianism,"Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, and the flesh of any other animal), and may also include abstention from by-products of animal slaughter.",medicine,0
Industrial Revolution,"The Industrial Revolution was the transition to new manufacturing processes. It included going from hand production methods to machines, new chemical manufacturing and iron production processes and the rise of the factory system.",history,0
The Middle Ages,"In the history of Europe, the Middle Ages or Medieval Period lasted from the 5th to the 15th century. It began with the fall of the Western Roman Empire and merged into the Renaissance and the Age of Discovery.",history,0
The Great Depression,"The Great Depression lasted from 1929 to 1939, and was the worst economic downturn in the history of the industrialized world. It began after the stock market crash of October 1929, which sent Wall Street into a panic and wiped out millions of investors.",history,0
Diploma Mill,A diploma mill is a company or organization that claims to be a higher education institution but which offers illegitimate academic degrees and diplomas for a fee. These degrees should not be confused with legitimate prior learning assessment programs.,social,0
NLP,"Neuro-linguistic programming is an approach to communication, personal development, and psychotherapy. NLP's creators claim there is a connection between neurological processes, language and behavioral patterns learned through experience.",science,0
